Commit Message,Category
"Began working on a feature that allows Common to store layout information for missing Dockables.

git-svn-id: http://svn.javaforge.com/svn/DockingFrames/trunk@371 3428d308-0d2e-0410-b3d4-94d0fefcacdf
",functional
Better encapsulation inspired by AbstractCRPDBTest.configureEntities (configuration of entities mixed with db configuration),internal
Better integrate the @ArgumentCollection into the command-line argument parser.  Walkers can now specify their own @ArgumentCollections.  Also cleaned up a bit of the CommandLineProgram template method pattern to minimize duplicate code.,code smell
"Better lookup of features by stepping through tags and not by stepping through the list of features.

Most nodes are just parts of a line.  Try to prevent converting nodes that are definitly not stand alone (eg just have
a created_by tag).

Saves about 5%

git-svn-id: http://svn.mkgmap.org.uk/mkgmap/trunk@246 25d90789-57f7-4ee0-8453-03a3dfeeeb22
",functional
"Better use of EMF reflective API in the ReqIF10Util class.

Many methods in ReqIF10Util are there to provide polymorphism over ReqIF
classes that define the same feature in leaf classes. For example the
SpecElementWithAttributes descendants, Specification, SpecObject, and
SpecRelation, all define a type attribute, but there is no way to handle
it polymorphically at the level of SpecElementWithAttributes. Same for
the AttributeDefinition descendants and default values. This change
makes better use of EMF reflective API, at times replacing lots of
identical code blocks handling all descendants. Generated code has been
favored in order to raise compiler errors in case of model changes.


Change-Id: I406023c3871cf1cfdf6c9481cca0753a4070b34e
Signed-off-by: Fran+?ois Rey <eclipse.org@francois.rey.name>",functional
Big refactoring to improve performance at N levels: - Serialization now minimizes the creation of temporary small objects like Strings. All serialization method receives a StringBuilder and append data directly to it - OLazyRecordSet now keeps the items always sorted for faster retrieval of items,external
Block inheritance by default on per-branch permissions.,internal
BookKeeper Client: Ensemble placement policy changes - Include ackQuorum as an argument to the newEnsemble method - Add ackquorum size to RRTopologyAwareCoverageEnsemble - Include ensemblesize  write quorum  ack quorum and existingEnsemble as a separate explicit argument to replaceBookie; so replacement decisions can be made in accordance with any constraints on the ensemble,internal
Break apart the inheritance structure of the timeline into Timeline and MessageListener.,internal
"Bring DatabaseMetaData feature tests up to date:

* NULLs are sorted differently in 7.2
* table correlation names are supported
* GROUP BY, ORDER BY unrelated is supported since 6.4
* ESCAPE/LIKE only supported since 7.1
* outer joins only since 7.1
* preferred term for procedure is ""function""
* preferred term for catalog is ""database""
* supports SELECT for UPDATE since 6.5
* supports subqueries
* supports UNION; supports UNION ALL since 7.1
* update some of the max lengths to match reality
* rearrange some functions to match the order in the spec
  for easier maintenance
",functional
"Brought ProxyWriter on par with ProxyOutputStream.

Since ProxyOutputStream is used far more often than ProxyWriter, it looks like we've failed
to keep them both up to the same level.

This change ports newer features and fixes from ProxyOutputStream to ProxyWriter, including
flushing, throttling, and I/O synchronization.

Since the code looks so similar, one wonders if there is any way to unify them, but
this turns out to be tricky because of the need to remain backward compatible. Command objects
for example need to be available in the exact same name, which means if we are to try to
unify them, we'd end up creating 3 copies (one in ProxyOutputStream, onein ProxyWriter, and
one in the unified version.) So I'm sticking to two copies.
",bugfix
Brought in old JUnit4ClassRunner for compatibility. Renamed new JUnit4ClassRunner to BlockJUnit4ClassRunner.,external
"Brought the ComponentProvider functionality up to date with the current functionality. ComponentProviders can be used (currently) to add new menu's + functionality to the client.
",functional
Browser should open to maximum size by default,internal
"BrowserOpenWindowCommand overhauled..no longer using ""features"" String to describe all features.
Now supports opening windows with various extent sizes.


",functional
Bug #1261: Extract method createTab with common functionality for each tab,external
Bug 103863 - Support encapsulation in SWT layout mechanism,internal
"Bug 216398 - [aspects] add handling of bundle and aspect versions to standard caching service, caching service API slightly changed to allow caching service to indicate that a class is remembered to be unchanged
",bugfix
Bug 233643 API builder performance bad for incremental build,external
Bug 256359 [metadata] Consider interfaces for Metadata classes,code smell
Bug 260913 [metadata] Move concrete metadata classes to an internal package,code smell
Bug 263090 [legacy] Load the model with commands and handlers Bug 271331 [Compatibility] Fill in the main menu with menu contributions Bug 271332 [Compatibility] Fill in the main menu with action sets,external
Bug 268036 Revoked the deprecated script method: beforeComputations and afterComputations  since it can't be replaced by beforeGenerations and afterGenerations respectively. Also added new PlotComputation as super class of PlotWithAxes and PlotWithoutAxes  so user can use code assistance in js editor more effectively and chart engine can remove much duplicate code.,code smell
Bug 268916: Support genReport -help to show help document in command line Bug 268915: [Accessibility]Provide engine supported optionName/configName list in genReport help,external
"Bug 27870  Patch For Form inheritance provided by Nacho G. Mac Dowell
Since this is a major functionality change though amount of code was small
Validator version rev changed to 1.2.0-dev


git-svn-id: https://svn.apache.org/repos/asf/jakarta/commons/proper/validator/trunk@140178 13f79535-47bb-0310-9956-ffa450edef68
",bugfix
Bug 283178 [Compatibility] Make actionSets visible/invisible,external
Bug 298671 Implement enough compatibility to bring up a simple view,external
Bug 298671 Implement enough compatibility to bring up a simple view,external
Bug 335909 - adjusted cfg generation for switch and dead code,code smell
"Bug 339968 - Lifecycle Mapping Page improvements

- passed.png from http://code.google.com/a/eclipselabs.org/p/workspacemechanic/
",bugfix
Bug 353240 [Compatibility] IWorkbenchWindow's openPage(String  IAdaptable) is not implemented correctly,external
Bug 372840: [quick fix] Add a quick fix to add the missing default in a switch statement,code smell
Bug 374605: Unreasonable warning for enum-based switch statements,code smell
Bug 388281 - [compiler][null] inheritance of null annotations as an option - comment 28: consider inherited annotation inside method body  too,internal
"Bug 396457 - [Releng][Maven] Create a build based on tycho

Add machinery to build the test feature and its constituent
bundles. Tests are not enabled by default, but when executed
all tests pass except those requiring the presence of a
running host service, for example, in these test bundles:
org.eclipse.ecf.tests.remoteservice.{generic,r-osgi}

Some minor tweaks were made to make configuring Tycho simpler
like making an abstract test actually abstract, removing a
completely empty test class that did nothing and making sure
valid test class names end with ""Test"" so they are detected
by Tycho.

Change-Id: Ic89a248668e4f08ee347fe3c0bcfd11e4cc23f4d
Signed-off-by: Mat Booth <mat.booth@redhat.com>
",bugfix
"Bug 411174 - can't add or remove I/O params on custom work item
definitions.
Also added copy/paste feature classes - work in progress and not enabled
yet.",bugfix
"Bug 412204 - Call Activity - Process and Global Task wrapping problems.
Added default property tabs for Global Tasks.
Added support for Global Tasks in Content Outline viewer.
Added static method in BPMN2Editor to open a new editor given a model
URI.
Bugfix in FeatureEditingDialog.",bugfix
"Bug 414645 : limit runtime-scoped dependencies visibility to test classpath

Change-Id: Id128d2a867968463d4a6bc8a35f93a6bdfc8ead8
Signed-off-by: Fred Bricon <fbricon@gmail.com>
",bugfix
"Bug 417567 - Unable to correctly arrange bpmn components in a process.
Still working on improving the layout of newly created shapes.",bugfix
Bug 428427 - introduced ResourceBundleProvider to increase extensibility for loading resource bundles,external
"Bug 431361 - Label and activity equals two objects
Bug 390575 - Support BPMNLabel DI elements
Bug 390566 - Label feature package is not exposed
Bug 355672 - BPMN2 Modeler Usability: look & feel
Bug 400944 - Add Participant Bands to CallChoreography and
SubChoreography
Saving work. Cleaned up the Choreography Activity update/layout mess.",bugfix
"Bug 431361 - Label and activity equals two objects
Bug 390575 - Support BPMNLabel DI elements
Bug 390566 - Label feature package is not exposed
Saving work - still need to update Activities and Choreography Tasks",bugfix
Bug 432265 - Support manifest inheritance and global properties for Cloud Foundry Deployment,internal
Bug 445802 - Heavy progress reporting degrades performance,external
Bug 476074 - [region] performance issue with large number of service listeners and service events,external
"Bug 479396 - deadlock in class loading when deploying at startup

Change-Id: I125f389a742a26dd18a03da736bb0de34a5b4871
Signed-off-by: Thomas Watson <tjwatson@us.ibm.com>
",bugfix
"Bug 486950 - [osgi R7] log service is being updated

Update various LogTrackers to no longer implement LogService to
avoid compilation errors.

Change-Id: Ie983f4cb18aef1d897d2fb7a3eccc0c47f07d91c
Signed-off-by: Thomas Watson <tjwatson@us.ibm.com>
",bugfix
Bug 497008 - java.lang.StackOverflowError or eclipse crashs when using Quick Type Hierarchy and Open Type Hierarchy on cyclic inheritances,internal
"Bug 511841 - AdapterManager.getAdapter can return wrong type

Added explicit type check for the values returned by IAdapterFactory
instances. If the return value does not match the adapter type, throw
AssertionFailedException with enough information who provided that
faulty adapter.

Change-Id: Ib527a7920250622055f93bb26855b2f52cc45743
Signed-off-by: Andrey Loskutov <loskutov@gmx.de>
",bugfix
"Bug 543638 - Improved MultiStatus#add performance

Changed the internal children array to an ArrayList to improve
performance when adding many children and simplify code.

Change-Id: I98fc3547c3d4866f68e7133532c21b98a6657460
Signed-off-by: Julian Honnen <julian.honnen@vector.com>
",bugfix
Bug 82854.  Reduced the size of the event classes. Fixed some of the copyright information. Removed some unnecessary classes.,internal
Bug 86013 Performance failures should be written to separate log,external
Bug fix : when an error happen before the total size is computed  the progress bar should be in determinate state.,internal
"Bug fixes after merge.

New DataStore tests.
Changed Reasoner to be a GroundKernelStore that can do optimization and fixed ADMM.
",bugfix
"Bug fixes to the grammar, and enum declarations now always have a type body, even if you have no semi-colon after the enum constant list.
",bugfix
"Bug fixes,
Heatmap clonning,
View annotated elements from results matrix.

git-svn-id: https://bg.upf.edu/svn/gitools/trunk@705 1b512f91-3386-4a98-81e7-b8836ddf8916
",bugfix
"Bugfix for property updates while in grouped rule mode, enabled multi-select in rule list - users can modify priority levels via new popup menu, bugfix for multi-value renderers, new RuleSelection class.  I'm still waiting for usability/feature feedback comments!

Need to implement: scrolling panel for property values, a splitter bar between rules & property tabs below, proper editors for enum types and multi-values, especially classes & interfaces. Still need to deal with statistical value rules - they throw exceptions at the moment, those guys have no defaults for now (not necessary?)

*** Please to not update the old PMDPreferencesPage, apply any necessary changes to the class of the same name in the temporary .br package. The old one remains as is where it is for comparison with the new one that shows up in the Eclipse preference panel right below the PMD entry (""Ruleset preferences - br""). 

git-svn-id: https://pmd.svn.sourceforge.net/svnroot/pmd/trunk@6761 51baf565-9d33-0410-a72c-fc3788e3496d
",bugfix
"Bugfix: DockableDisplayer can now calculate a point that must always be
visible to the user. This point is used when showing an externalized
Dockable to prevent it from leaving the screen.",bugfix
"Bugfix: if a MultipleCDockable was stored as child of another
MultipleCDockable, storing and loading the layout failed. The reason for
that was a feature in DockFrontend.addDockable, where the layout of any
new Dockable was updated if an old layout was stored in the frontend. In
the case of a MultipleCDockable there is an old layout stored, because
they are ""missing"" at the time when the layout-file is read. The
solution is to be more careful about applying old layouts when loading a
new layout at the same time.",bugfix
"Bugfixes and Java 5 compatibility.
 * Fixed bugs mentioned on forum, except ResNode
 * temp.setReadable/setWritable is not java 5
 * ImageIO.getReaderFileSuffixes is not java 5

git-svn-id: https://lateralgm.svn.sourceforge.net/svnroot/lateralgm@311 8f422083-7f27-0410-bc82-93e204be8cd2
",bugfix
"Bugfixes and features concerning perspectives

git-svn-id: http://svn.javaforge.com/svn/DockingFrames/trunk@761 3428d308-0d2e-0410-b3d4-94d0fefcacdf
",bugfix
Bugfixes and more Bukkit abstraction,internal
"Bugfixes for file filters preference page

git-svn-id: https://pmd.svn.sourceforge.net/svnroot/pmd/trunk@7581 51baf565-9d33-0410-a72c-fc3788e3496d
",bugfix
"Bugfixes regarding perspectives

git-svn-id: http://svn.javaforge.com/svn/DockingFrames/trunk@673 3428d308-0d2e-0410-b3d4-94d0fefcacdf
",bugfix
"Bugs aus Cockpit und InfoPresenter erstmal ausgebaut, Rest funktioniert aber noch.
N+?chster Schritt: Eigene Plugins und eigenes Feature f++r Bug-Reports
",bugfix
"Bugs fixed:
  * fixed architecture handling and loading
  * fixed syntax highlighting using knowledge about initial lex states

New features:
  * Undo/redo improvement (added ability to undo/redo more than one
    char at once) / BUGGY
  * Added javadoc documentation

Improvements
  * change iconset to Tango (opensource) library
  * set equal widths/heights to all buttons (using new class NiceButton)
",bugfix
"BundleManifestAppender: Derives and appends manifest models for each
non-OSGi bundle candidate from the osgify context

Features:
* determine required execution environment
* package exports (with version)
* package imports (with version range)
* dynamic package imports (on basis of Class.forName(String))",functional
CAMEL-4417 Move AsnycProcessorTypeConverter.convert method to processor while keeping the old one for compatibility,external
CAMEL-4428 Introduce NamedNode as Abstraction of OptionalIdentifiedDefinition. This avoids some references from api to model,internal
CARE #85: Performance test engine,external
CAS-1116 Refactor KryoTranscoder to use an initial buffer size and add explicit buffer overflow protection to handle what should be edge cases with proper buffer sizing.  Also  correct improper usage of ByteBuffer#array()  which caused entire backing buffer to be stored in cache instead of just used bytes. Unfortunately the fix requires byte array copying with the resulting object allocation overhead.,internal
"CASC-33
Logging changes to help confirm functionality of logout valves.
Fix typo in regular expression-based logout valve class name.

",functional
CAY-2242 Vertical Inheritance: Cannot Insert Record With Multiple Flattened Relationships,internal
CAY-795 Horizontal inheritance,internal
CAY-795 Horizontal inheritance,internal
CDITCK-390 - Extend InterceptorBindingInheritanceTest,internal
"CELDEV-752 Improve ContextMenu loading Performance (#192)

* getCMIjson add logging

* improve timing

* change to double

* increase logging

* add logging to JsonBuilder

* fix logging

* add logging to parser

* introduce CelementsVelocityService

* replace RenderingEngine

* use VelocityContextModifier

* override RENDER_TIME#initialValue

* refactoring ContextMenuBuilder

* improve logging

* log fetcher

* fix ContextMenuBuilder

* fix compile error

* cache rendered text inside CMI

* only log long times

* log obj information

* add Cache

* remove cache

* log field info to renderText

* hide low time

* add isDebugEnabled

* extend logging for getSiblingMenuItem

* add SubNodesCache

* evaluateVelocityText add empty check

* switch to error logging

* refactor VelocityService

* add TreeNodeScriptService#getPrev/NextMenuItem

* fixes/refactorings

* add toString methods

* change naming fetchNodesForParent

* rename VelocityService

* ContextMenuItem obj clone

* add Immutable annotation

* ContextMenuItem decoupled from BaseObject

* removed deprecation
",bugfix
CHANGED: Reduced the number of File objects held in memory by FileFactory. CHANGED: Added an additional check when saving a file to payload directory of a bag to make sure it is actually saved there. NEW: Added a StopWatch class for measuring time elapsed between its start and stop method calls. Provides basic performance metrics for tasks that use it. NEW: ThreadPoolService now accepts cleanup tasks that are executed during @PreDestroy method. Updated TagFilesService to schedule a write all tag files to disk during cleanup. UPDATED: All storage event tasks to use StopWatch class.,external
CLEREZZA-511: improving performance without changing the public api as the issue suggests,external
CLOUDSTACK-10053: Performance improvement: caching of NuageVsp ID,external
CMTC-10 : [Groovy support] Add tests for metamodel inheritance,internal
CRUD  reorder  and inheritance of notes on workflow step.,internal
CSPACE-3175 Refactored *Resource classes to use functionality in two main base classes: ResourceBase  and SecurityResourceBase. Also  changed how some responses are now response code 400  BAD_REQUEST  where previously they were incorrectly sent as server error  500.  See extensive notes here: http://issues.collectionspace.org/browse/CSPACE-3175 ,external
Camel forge command - Align the duplicate code we have for add/edit endpoint options to use same class.,code smell
Camel forge command - Align the duplicate code we have for add/edit endpoint options to use same class.,code smell
"Change ""enabled"" to ""selected"" regarding whether we move or rename files

The terminology unfortunately was overloaded.  We have a checkbox that says whether or not the user wants the program to rename files.  But if the user has already decided they don't want the program to move the files, then they MUST allow it to rename the files (otherwise, what's the point?).  Therefore, when the user has told us not to move the files, the rename checkbox should be ""disabled"" -- greyed out, and unable to be interacted with.

This gets very confusing when we use ""enable""/""disable"" to refer to whether or not to use the feature, AS WELL AS whether or not to activate the UI widget.

So, try to reserve ""enable""/""disable"" for the UI widget, and refer to the ""move"" or ""rename"" functionality being SELECTED.
",functional
"Change WorldConfig.biomeConfigs from HashMap to simple array for better performance. Forge version need testes.
Fix wrong method name in forge.TCWorldChunkManager.
",bugfix
"Changed 'throws exception' from close() method on Connection class.
 Also changed test, so it doesn't rely on java 7 autoClosable feature.
",functional
Changed JOhm persistence paradigm to JPA-like from inheritance-like to make API use annotation-driven and minimally-invasive.,internal
Changed font size management to preferences,internal
Changed implementation of adding/removing/getting relationships on a node in cache layer. Previous implementation worked with sets but that had a performance problem  when doing small modifications to a node (create adding or removing a few  relationships). This could be noticed when node had many relationships (copy on  write on largers sets was just to slow). ,external
"Changed inclusion/filter strategy for aggregation of foreign features
when using mode unwrap. Now, the contents of all assembly features
accessible via dependencies will be included but filtered with the
normal features and plugins feature patterns.",functional
"Changed property name to be conistent.  For bug
https://bugs.eclipse.org/bugs/show_bug.cgi?id=420785

Change-Id: Iafb9430846cc6dcc120a08f7b1dafbd82b81558e
",bugfix
"Changed to a more efficient path visitor that is allowed to see what's going on in cubicTo and quadTo.  But there's a regression bug in the path drawing.
",bugfix
Changed to inherit from PackageMemberAnnotation  from which we get some implementation functionality.  Split SignatureConverter into its own top level class.,external
Changelog updated and make MetaData class compile,code smell
"Changes based on Keith's review.  A few tweaks to EdgeSet to help tracking edge
removal

	modified:   src/edu/ucla/sspace/common/Similarity.java

- Updated to use VectorMath.dotProduct for the Tanimoto coefficient

	deleted:    src/edu/ucla/sspace/common/WordComparator.java

- Moved to SimpleNearestNeighborFinder

	modified:   src/edu/ucla/sspace/dependency/SimpleDependencyPath.java

- Removed println

	modified:   src/edu/ucla/sspace/graph/AbstractGraph.java

- Added missing implementation to Subgraph class so now all the unit tests pass

	modified:   src/edu/ucla/sspace/graph/DirectedMultigraph.java

- Added missing implementation to Subgraph class so now all the unit tests pass

- Fixed bug for reporting the correct edge types after removal

- Removed dead code

	modified:   src/edu/ucla/sspace/graph/EdgeSet.java

- Updated so that disconnect() now returns the number of edges that were removed

	modified:   src/edu/ucla/sspace/graph/GenericEdgeSet.java
	modified:   src/edu/ucla/sspace/graph/SparseDirectedEdgeSet.java
	modified:   src/edu/ucla/sspace/graph/SparseDirectedTypedEdgeSet.java
	modified:   src/edu/ucla/sspace/graph/SparseTypedEdgeSet.java
	modified:   src/edu/ucla/sspace/graph/SparseUndirectedEdgeSet.java
	modified:   src/edu/ucla/sspace/graph/SparseWeightedEdgeSet.java

- Updated to support EdgeSet interface change

	deleted:    src/edu/ucla/sspace/graph/GraphRandomizer.java

- Removed dead class (functionality is in Graphs.java)

	modified:   src/edu/ucla/sspace/graph/SimpleWeightedEdge.java

- Fixed hashCode()

	deleted:    src/edu/ucla/sspace/graph/SparseSymmetricEdgeSet.java

- Removed dead class

	modified:   src/edu/ucla/sspace/graph/UndirectedMultigraph.java

- Added missing implementation to Subgraph class so now all the unit tests pass

- Fixed bug for reporting the correct edge types after removal

- Removed dead code

	modified:   src/edu/ucla/sspace/mains/FixedDurationTemporalRandomIndexingMain.java

- Updated to replace WordComparator with SimpleNearestNeighborFinder

	modified:   src/edu/ucla/sspace/mains/LexSubWordsiMain.java

- Updated to replace WordComparator with SimpleNearestNeighborFinder

	modified:   src/edu/ucla/sspace/text/LabeledParsedStringDocument.java

- Updated for new ParsedDocument interface

	modified:   src/edu/ucla/sspace/text/ParsedDocument.java

- Updated to specify the format of text() as the tokens with white space delimiters.

- Added a new prettyPrintText() which is the attempt to nicely format the tokens
  as they would have been originally.

	modified:   src/edu/ucla/sspace/text/PukWaCDocumentIterator.java

- Fixed javadoc

	modified:   src/edu/ucla/sspace/text/UkWaCDocumentIterator.java

- Added more class javadoc

	modified:   src/edu/ucla/sspace/tools/NearestNeighborFinderTool.java

- Updated to use the class instances instead of the interface

	modified:   src/edu/ucla/sspace/tools/SemanticSpaceExplorer.java

- Updated to replace WordComparator with PartitioningNearestNeighborFinder

	modified:   src/edu/ucla/sspace/tools/SimilarityListGenerator.java

- Updated to replace WordComparator with PartitioningNearestNeighborFinder

	modified:   src/edu/ucla/sspace/util/HashIndexer.java

- Fixed javadoc

	modified:   src/edu/ucla/sspace/util/PairCounter.java

- Fixed javadoc

	renamed:    src/edu/ucla/sspace/util/NearestNeighborFinder.java -> src/edu/ucla/sspace/util/PartitioningNearestNeighborFinder.java

- Moved so that NearestNeighborFinder can be an interface

	modified:   src/edu/ucla/sspace/util/ReflectionUtil.java

- Removed dead code

	modified:   src/edu/ucla/sspace/util/primitive/IntIntHashMultiMap.java

- Added javadoc

	modified:   src/edu/ucla/sspace/util/primitive/IntIntMultiMap.java

- Added javadoc

	modified:   test/edu/ucla/sspace/graph/DirectedMultigraphTests.java

- Uncommented out unit tests

	modified:   test/edu/ucla/sspace/dependency/BreadthFirstPathIteratorTest.java
	modified:   test/edu/ucla/sspace/dependency/CoNLLDependencyExtractorTest.java
	modified:   test/edu/ucla/sspace/dependency/WaCKyDependencyExtractorTest.java
	modified:   test/edu/ucla/sspace/text/corpora/PukWacDependencyCorpusReaderTest.java
	modified:   test/edu/ucla/sspace/wordsi/DependencyContextExtractorTest.java
	modified:   test/edu/ucla/sspace/wordsi/OccurrenceDependencyContextGeneratorTest.java
	modified:   test/edu/ucla/sspace/wordsi/OrderingDependencyContextGeneratorTest.java
	modified:   test/edu/ucla/sspace/wordsi/PartOfSpeechDependencyContextGeneratorTest.java
	modified:   test/edu/ucla/sspace/wordsi/psd/PseudoWordDependencyContextExtractorTest.java
	modified:   test/edu/ucla/sspace/wordsi/semeval/SemEvalDependencyContextExtractorTest.java

- Fixed unit tests to support proper tab-delimiting of the CoNLL format
",bugfix
"Changes to GameAchievement

 * Now includes the unlock date (if available)
 * Several adaptions of Ruby features for Java and PHP
 * XML data is now handled by the constructor of GameAchievement
 * Fixes achievements' SteamID attribute for Ruby and PHP
",bugfix
"Changes to Rule interface to support a Language value.  Every Rule must have a Language.  All the Java AST Rule base classes will default the Language, and enforce that it cannot be changed to something else (e.g. ImmutableLanguage interface).  XPath Rules must specify a Language in the RuleSet XML.  All existing Rules have had their languages set appropriately.

Also added a minimum and maximum Language Version to Rules.  By default these are null, indicating a Rule applies to all versions of a Language.  Some Rules can be defined to work only on certain Language Version ranges.  It is envisioned this will be used for Java migration related rules, and for future Rules concerning newer Java language feature usage (e.g. Annotations, etc).

Next step is to rework RuleSet to no longer use Language directly, but to defer to it's Rules.


git-svn-id: https://pmd.svn.sourceforge.net/svnroot/pmd/trunk@6195 51baf565-9d33-0410-a72c-fc3788e3496d
",functional
Changes to the performance tests using JMeter. Added load test for the JPA store.,external
Changes to use the Datasource Abstraction libraries and to move Content Specs to their own database tables.,internal
"Changing all tests to inherit from ERXTestCase, not TestCase.
Adding stub methods to ERXEOAccessUtilitiesTest, ERXECTest.
Add functionality to Application, ERXTestUtilities for using model with different adaptors.


",functional
Checked in some dead code recommendations.,code smell
"Chris Meyer: This patch modifies the EROpenID framework to handle different kinds of OpenID message extensions. This allows clients to (potentially) handle ""simple registration"" messages as well as ""attribute exchange"" extensions. The old implementation only allowed for the newer ""attribute exchange"" extensions; and only one of those. The new implementation allows for more message extension types and now multiple ones can be requested too.

This patch is in preparation for additional patches to make it easy to retrieve additional registration information (such as an email address) without much effort on the client side.

This patch should be 100% backwards compatible although I have marked the older API as deprecated. I strongly doubt that anyone was using the older code since it was so limited in functionality, but any feedback would be welcome, of course.

This patch also adds several logging messages.


",functional
Clean up Navin's abstraction over Hibernate Core  clean style issues  apply back changes from my original fix patch,internal
Cleaned out some dead code that was replaced by Spring Social,code smell
Cleaned up SoapSerialization envelope.  Added some rudimentary dot net support so it will work with sites like weatherX etc.. Removed some dead code.,code smell
Cleaned up abstraction.,internal
Cleaned up some duplicate code in preparation for making plugin dir configurable.,code smell
Cleaning form generator classes  refactoring to remove duplicate code. EasyWSDl is the default WSDL parser because we have a library version problem with Woden.,code smell
Cleans up HtmlApiFilter to reduce duplicate code.,code smell
"Cleanup JGitRepositoryG??s describe mechanism

This improves readability of the code, fixes problems with tagged non-commit objects and saves a few instruction cycles.

The result now matches JGitG??s built-in DescribeCommand.
",bugfix
Cleanup test for JUnit 4 compatibility.,external
ClockService  Starting on decoupling (agreement from lease  finance),internal
"Closes gh-344. Updated pom for Bukkit 1.1-R1. Fixed compatibility with Heroes and other plugins by introducing new config REALDEATHS. If you turn it on, there no longer fast respawns (i.e. the player actually dies, letting other plugins register the death). Now you can also turn off death messages with DEATHMESSAGES. Fixed bug in inventory checking job.
",bugfix
Code cleanup:  Score function should work in doubles to avoid wrapping on longs for long distances;  Minimum distance we care about was too high;  Removed link between Geo Only and Lucene+Geo path;  Removed some dead code that was commented out,code smell
Code cleanups:   - remove dead code   - rename DocumentModifier => DocumentEdits,code smell
Code review tweaks: Event inheritance-based triggering protected over private Renamed and repackaged event related classes Comments,internal
Code review: pulled up some functionality into AbstractMarshallingSession. Reduces several cut-n-pasted code chunks.,external
"Code to create rules from the new style files.
This version still only uses map-features though.

git-svn-id: http://svn.mkgmap.org.uk/mkgmap/branches/style@689 25d90789-57f7-4ee0-8453-03a3dfeeeb22
",functional
"Coded MDI functionality and lots of other GUI code.

GMLTextArea
 * Leading spaces are converted to tabs
 * Tab width is set on initialisation
 * Added getTextCompat() to convert newlines and tabs back for resave
 * See Prefs.tabWidth
 * See Util.convertIndents(String)

GmMenu
 * Extracted from GmMenuBar to allow subclassing

GmMenuBar
 * Added Window menu

GmTreeGraphics
 * Background nodes are now shown correctly in the tree

MDIManager
 * Implemented resizeDesktop()

MDIMenu
 * The Window menu - it updates when frames are added and removed and offers some common commands
 * Subclasses GmMenu

MDIPane
 * Modified to call resizeDesktop() in certain cases
 * Added functions to close all etc.

VTextIcon
 * Fixed a generics warning

LGM
 * mdi is now an instance of MDIPane
 * Modified createTree to add a JToggleButton for the EventFrame
 * Reordered some GUI initialisation code to work with the extra toolbar button
 * Overloaded makeButton for other kinds of AbstractButton

Resource
 * Modified the arguments to copy - there are now two versions
 * Modified subclasses to use the new arguments.

ResourceFrame
 * Added javadoc comments to some fields to clarify their purpose
 * Modified resourceChanged in all subclasses to compare against resOriginal

ScriptFrame
 * Modified to use GMLTextArea.getTextCompat()

EventFrame
 * Added support for the toggle button

checkstyle.xml
 * TODO comments are now ignored - Eclipse already has better functionality for that

AbstractBitmap
 * Removed a FIXME comment

git-svn-id: https://lateralgm.svn.sourceforge.net/svnroot/lateralgm@113 8f422083-7f27-0410-bc82-93e204be8cd2
",functional
"Combined column/row synchronization peers into single item (Render.Column.js and Render.Row.js are now Render.ArrayContainer.js).  Shared functionality is an abstract base class.

",functional
"Comment and simplift the component painting function; this let me add new features where they needed to go, because the code became more comprehensible.

Add a dotted square box around the thumbnail icon.  (Looks slick IMO!)",functional
Common abstraction of DockElement  DockTitle and other elements representing Dockables,internal
Compatibility with SQ 6.1,external
Complete LUP decomposition with pivoting,internal
Completed test for verifying correct functionality of distributed cache.,external
"Completes  DURACLOUD-873-and-874: exposes prefix feature in synctoolui. Also added is the ability to set threads as well as automatically optimize them.
",bugfix
"Completes: https://jira.duraspace.org/browse/DURACLOUD-774

Combines the SyncTool and UpSync into a single executable jar. This jar is a build artifact of the synctoolui project, named duracloud-synctool-<version>.jar. Running this jar with command line arguments works just like the SyncTool. Running the jar with no arguments launches UpSync.

Part of this work involved transitioning the SyncTool to use logback for logging rather than log4j (and thus removing the feature which allowed the user to change the log level on the command line at run time). The work directory parameter of the Sync Tool is also now optional. If it is not provided, a default value (in the user's home directory) is used. This default value is also the value used when UpSync is put in use.

git-svn-id: https://svn.duraspace.org/duracloud/trunk@1072 1005ed41-97cd-4a8f-848c-be5b5fe45bcb
",functional
Composite operators now return SopremoModule instead of ElementarySopremoModule to help optimization and remove duplicate code,code smell
Concept charts visualization 1. The box plot outliers functionality is added 2. Removing not used code 3. Adding the heat map concept code.,external
Config decoupling continued.  Created a convenient abstract ConfigSingletonFactory class that can be used to create singletons based on config .properties.,internal
"Conglomeration patch to SAXOutputter based on patches from Laurent.
Items fixed include:

* start/endPrefixMapping was not being fired for no namespace
* DocType was being improperly constructed
* Assign a DefaultHandler to the dtd parser by default to better
  suppress unimportant problems

New feature:

* Support for outputting fragments of documents.

New methods:

output(Content)
outputFragment(List)
outputFragment(Content)

-jh-
",bugfix
"Consolidate and refine html bill text parsing

A number of fixes and consolidations of how html text is parsed and
converted to plain text.  This applies for bill, resolution, and memo
text that is parsed from xml files and scraped from lrs.

- Use same methods to extract plain text for scraped bills, as is used
  in xml processing.
- Make parsing methods specific to bills vs resolutions.
- Make parsing regexes more specific.
- Do not remove resolution headers for scraped bills by default.
- Add mismatch for resolution headers.

Fixes #12201
",bugfix
Consolidate database connecting actions reducing code complexity and duplicate code fragments,internal
